2015-04-15 00:58:47,006 ERROR RAW:3485
2015-04-15 00:58:47,215 ERROR RAW:3485
2015-04-15 00:58:47,425 ERROR RAW:3486
2015-04-15 00:58:47,634 ERROR RAW:3486
2015-04-15 00:58:47,840 ERROR RAW:3490
2015-04-15 00:58:48,060 ERROR RAW:3490
2015-04-15 00:58:48,267 ERROR RAW:3490
2015-04-15 00:58:48,481 ERROR RAW:3491
2015-04-15 00:58:48,695 ERROR RAW:3491
2015-04-15 00:58:48,902 ERROR RAW:3491
2015-04-15 00:58:49,115 ERROR RAW:3490
2015-04-15 00:58:49,326 ERROR RAW:3489
2015-04-15 00:58:49,536 ERROR RAW:3489
2015-04-15 00:58:49,745 ERROR RAW:3489
2015-04-15 00:58:49,956 ERROR RAW:3490
2015-04-15 00:58:50,164 ERROR RAW:3488
2015-04-15 00:58:50,374 ERROR RAW:3490
2015-04-15 00:58:50,584 ERROR RAW:3490
2015-04-15 00:58:50,791 ERROR RAW:3491
2015-04-15 00:58:51,005 ERROR RAW:3491
2015-04-15 00:58:51,215 ERROR RAW:3491
2015-04-15 00:58:51,422 ERROR RAW:3491
2015-04-15 00:58:51,635 ERROR RAW:3491
2015-04-15 00:58:51,857 ERROR RAW:3491
2015-04-15 00:58:52,070 ERROR RAW:3490
2015-04-15 00:58:52,289 ERROR RAW:3486
2015-04-15 00:58:52,503 ERROR RAW:3485
2015-04-15 00:58:52,710 ERROR RAW:3484
2015-04-15 00:58:52,924 ERROR RAW:3349
2015-04-15 00:58:53,132 ERROR RAW:3345
2015-04-15 00:58:53,342 ERROR RAW:3336
2015-04-15 00:58:53,555 ERROR RAW:3336
2015-04-15 00:58:53,769 ERROR RAW:3334
2015-04-15 00:58:53,983 ERROR RAW:3334
2015-04-15 00:58:54,191 ERROR RAW:3331
2015-04-15 00:58:54,406 ERROR RAW:3331
2015-04-15 00:58:54,617 ERROR RAW:3329
2015-04-15 00:58:54,827 ERROR RAW:3329
2015-04-15 00:58:55,038 ERROR RAW:3329
2015-04-15 00:58:55,248 ERROR RAW:3330
2015-04-15 00:58:55,462 ERROR RAW:3329
2015-04-15 00:58:55,671 ERROR RAW:3330
2015-04-15 00:58:55,890 ERROR RAW:3329
2015-04-15 00:58:56,099 ERROR RAW:3330
2015-04-15 00:58:56,310 ERROR RAW:3332
